epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11434.7,0.79927,0.80289,1.15418,0.78528,0.40469,0.47237,0.37991,0.82164,0.92603,1.21512,0.000456863,0.000456863,0.000456863
43,11694.9,0.82484,0.82028,1.16028,0.78724,0.4158,0.51148,0.40324,0.89314,0.9164,1.27146,0.00044925,0.00044925,0.00044925
44,11954.2,0.7849,0.76169,1.14885,0.78667,0.41372,0.50441,0.39368,0.84763,0.86893,1.23916,0.000441637,0.000441637,0.000441637
45,12213.2,0.80509,0.78202,1.14656,0.77727,0.43498,0.51877,0.40777,0.81998,0.87605,1.21025,0.000434024,0.000434024,0.000434024
46,12472.9,0.80075,0.78848,1.15063,0.76144,0.43124,0.51789,0.41402,0.8322,0.90317,1.2123,0.000426411,0.000426411,0.000426411
47,12732.9,0.7801,0.76139,1.13425,0.79351,0.44136,0.51357,0.40897,0.83921,0.86495,1.2261,0.000418797,0.000418797,0.000418797
48,12992.4,0.78683,0.74376,1.14135,0.75829,0.43034,0.48231,0.38167,0.80253,0.87287,1.20921,0.000411184,0.000411184,0.000411184
49,13251.7,0.77941,0.74836,1.13454,0.73613,0.44654,0.49233,0.37956,0.85906,0.83869,1.22357,0.000403571,0.000403571,0.000403571
50,13511.5,0.78049,0.74678,1.15217,0.78603,0.42115,0.4919,0.3809,0.85991,0.88329,1.22019,0.000395958,0.000395958,0.000395958
51,13771.3,0.79631,0.77065,1.15322,0.76866,0.40707,0.47242,0.37888,0.80943,0.90412,1.19288,0.000388345,0.000388345,0.000388345
52,14031.2,0.77697,0.73073,1.13727,0.76551,0.41859,0.49785,0.39572,0.8117,0.86586,1.20496,0.000380732,0.000380732,0.000380732
53,14290.9,0.74959,0.71697,1.12761,0.79716,0.39469,0.50501,0.40926,0.81662,0.86397,1.22807,0.000373119,0.000373119,0.000373119
54,14550.5,0.74868,0.70997,1.12349,0.80002,0.39795,0.47651,0.37468,0.87977,0.92457,1.25884,0.000365506,0.000365506,0.000365506
55,14810.7,0.74503,0.70387,1.11588,0.77774,0.45341,0.54452,0.43795,0.81661,0.78036,1.2152,0.000357893,0.000357893,0.000357893
56,15070.2,0.73971,0.70521,1.11546,0.95368,0.41173,0.49247,0.39438,0.80487,0.83592,1.19042,0.00035028,0.00035028,0.00035028
57,15329.1,0.72381,0.68775,1.09772,0.79836,0.43774,0.54187,0.43092,0.80471,0.81706,1.19888,0.000342666,0.000342666,0.000342666
58,15588.3,0.72449,0.68859,1.10784,0.78697,0.42418,0.51332,0.41241,0.80436,0.81146,1.20225,0.000335053,0.000335053,0.000335053
59,15848.3,0.73683,0.67456,1.11211,0.80843,0.41777,0.51703,0.41674,0.80002,0.81196,1.1954,0.00032744,0.00032744,0.00032744
60,16111.3,0.69764,0.67003,1.09774,0.80482,0.43568,0.52319,0.41525,0.79675,0.79524,1.19772,0.000319827,0.000319827,0.000319827
61,16484.9,0.70103,0.65728,1.10029,0.79985,0.43218,0.52985,0.42758,0.78163,0.76058,1.18193,0.000312214,0.000312214,0.000312214
62,16905.9,0.71311,0.661,1.09729,0.79137,0.42266,0.52611,0.42267,0.8,0.81338,1.20911,0.000304601,0.000304601,0.000304601
63,17207.3,0.72494,0.67148,1.10154,0.79118,0.42742,0.54657,0.43256,0.77125,0.78703,1.18866,0.000296988,0.000296988,0.000296988
64,17483.8,0.71692,0.66449,1.10828,0.70573,0.47118,0.53102,0.43124,0.77388,0.76665,1.16419,0.000289375,0.000289375,0.000289375
65,17844,0.68475,0.64429,1.07601,0.72645,0.47762,0.53032,0.42694,0.80113,0.77157,1.19476,0.000281762,0.000281762,0.000281762
